"Name"|"Type"|"SPICE model"|"Triode Connection"
"EF94"|"P"|"6AU6"|"6AU6T"
"EF184"|"P"|"6EJ7"|"6EJ7T"
"EL2"|"P"|"EL32"|"EL32T"
"EL12"|"P"|"EL12"|"EL12T"
"EL32"|"P"|"EL32"|"EL32T"
"EL34"|"P"|"EL34"|"EL34T"
"EL84"|"P"|"6BQ5"|"6BQ5T"
"EL95"|"P"|"EL95"|"EL95T"
"EL156"|"P"|"EL156"|"EL156T"
"EL500"|"B"|"6GB5"|"6GB5T"
"EL509"|"B"|"6LF6"|"6LF6T"
"KT33C"|"B"|"KT33C"|"KT33CT"
"KT66"|"B"|"KT66"|"KT66T"
"KT88"|"B"|"KT88"|"KT88T"
"L63"|"T"|"6SN7"|
"MH4"|"T"|"MH4"|
"MH40"|"T"|"MH40"|
"MH41"|"T"|"MH41"|
"MHL4"|"T"|"MHL4"|
"ML4"|"T"|"ML4"|
"PCF80"||"6BL8P"|
"PX4"|"T"|"PX4"|
"PX25"|"T"|"PX25"|
"PX25A"|"T"|"PX25A"|
"Pen45"|"P"|"Pen45"|"Pen45T"
"RE604"|"T"|"RE604"|
"WE104D"|"T"|"WE104D"|
"WE262B"|"T"|"WE262B"|
"WE310A"|"P"|"WE310A"|"WE310AT"
"WE350B"|"B"|"350B"|"350BT"
"WE396A"|"twin T"|"WE396A"|
"WE421A"|"twin T"|"WE421A"|
