Freq.	V(n003)
Step Information: Treble1=0 Middle1=12.5K Bass1=0  (Run: 1/18)
8.15718801484334e+002	(-1.87410311193519e+001dB,5.83979743005810e+000°)
8.44485062894659e+002	(-1.87186978608522e+001dB,5.82533625959847e+000°)
8.74265764322820e+002	(-1.86960252566497e+001dB,5.80794741735890e+000°)
9.05096679918788e+002	(-1.86730588009893e+001dB,5.78738991639602e+000°)
9.37014845405208e+002	(-1.86498467930957e+001dB,5.76344960412241e+000°)
9.70058602566663e+002	(-1.86264399364423e+001dB,5.73594123546642e+000°)
1.00426764530785e+003	(-1.86028908936721e+001dB,5.70471021558752e+000°)
1.03968306733599e+003	(-1.85792538047849e+001dB,5.66963396616173e+000°)
1.07634741152476e+003	(-1.85555837774157e+001dB,5.63062287812269e+000°)
1.11430472101905e+003	(-1.85319363589722e+001dB,5.58762082412750e+000°)
1.15360059214187e+003	(-1.85083670010213e+001dB,5.54060521552800e+000°)
1.19428222916712e+003	(-1.84849305265873e+001dB,5.48958660077340e+000°)
1.23639850102381e+003	(-1.84616806109327e+001dB,5.43460781445109e+000°)
1.28000000000001e+003	(-1.84386692859401e+001dB,5.37574269805448e+000°)
1.32513910251697e+003	(-1.84159464774245e+001dB,5.31309442456753e+000°)
1.37187003204647e+003	(-1.83935595836240e+001dB,5.24679346860423e+000°)
1.42024892424685e+003	(-1.83715531017846e+001dB,5.17699527181754e+000°)
1.47033389439622e+003	(-1.83499683082559e+001dB,5.10387765928187e+000°)
1.52218510720350e+003	(-1.83288429958983e+001dB,5.02763806645022e+000°)
1.57586484908151e+003	(-1.83082112709555e+001dB,4.94849063801635e+000°)
1.63143760296867e+003	(-1.82881034099296e+001dB,4.86666325966295e+000°)
1.68897012578932e+003	(-1.82685457754760e+001dB,4.78239458140482e+000°)
1.74853152864564e+003	(-1.82495607889581e+001dB,4.69593108728960e+000°)
1.81019335983758e+003	(-1.82311669561168e+001dB,4.60752426089048e+000°)
1.87402969081042e+003	(-1.82133789413360e+001dB,4.51742788965928e+000°)
1.94011720513333e+003	(-1.81962076852419e+001dB,4.42589554414606e+000°)
2.00853529061570e+003	(-1.81796605598657e+001dB,4.33317826066929e+000°)
2.07936613467198e+003	(-1.81637415553107e+001dB,4.23952244856379e+000°)
2.15269482304953e+003	(-1.81484514917887e+001dB,4.14516803589613e+000°)
2.22860944203810e+003	(-1.81337882509942e+001dB,4.05034686076999e+000°)
2.30720118428375e+003	(-1.81197470210484e+001dB,3.95528130920609e+000°)
2.38856445833425e+003	(-1.81063205496278e+001dB,3.86018319520189e+000°)
2.47279700204763e+003	(-1.80934994003773e+001dB,3.76525287403069e+000°)
2.56000000000003e+003	(-1.80812722082492e+001dB,3.67067857614338e+000°)
2.65027820503395e+003	(-1.80696259299929e+001dB,3.57663594621129e+000°)
2.74374006409294e+003	(-1.80585460866145e+001dB,3.48328776978954e+000°)
2.84049784849371e+003	(-1.80480169952101e+001dB,3.39078386880565e+000°)
2.94066778879244e+003	(-1.80380219881397e+001dB,3.29926114643258e+000°)
3.04437021440700e+003	(-1.80285436180309e+001dB,3.20884376182983e+000°)
3.15172969816302e+003	(-1.80195638475785e+001dB,3.11964341564625e+000°)
3.26287520593735e+003	(-1.80110642235320e+001dB,3.03175972795280e+000°)
